plant_id,tag_name,image_name,image_path,seed_parent,pollen_parent,genus,is_cross
plant001,UNKNOWN_1 X Dr Anek,IMG_6100.JPG,UNKNOWN_1 X Dr Anek\IMG_6100.JPG,UNKNOWN 1,Dr Anek,,True
plant001,UNKNOWN_1 X Dr Anek,IMG_6101.JPG,UNKNOWN_1 X Dr Anek\IMG_6101.JPG,UNKNOWN 1,Dr Anek,,True
plant001,UNKNOWN_1 X Dr Anek,IMG_6102.JPG,UNKNOWN_1 X Dr Anek\IMG_6102.JPG,UNKNOWN 1,Dr Anek,,True
plant001,UNKNOWN_1 X Dr Anek,IMG_6103.JPG,UNKNOWN_1 X Dr Anek\IMG_6103.JPG,UNKNOWN 1,Dr Anek,,True
plant001,UNKNOWN_1 X Dr Anek,IMG_6104.JPG,UNKNOWN_1 X Dr Anek\IMG_6104.JPG,UNKNOWN 1,Dr Anek,,True
plant001,UNKNOWN_1 X Dr Anek,IMG_6105.JPG,UNKNOWN_1 X Dr Anek\IMG_6105.JPG,UNKNOWN 1,Dr Anek,,True
plant001,UNKNOWN_1 X Dr Anek,IMG_6106.JPG,UNKNOWN_1 X Dr Anek\IMG_6106.JPG,UNKNOWN 1,Dr Anek,,True
plant001,UNKNOWN_1 X Dr Anek,IMG_6107.JPG,UNKNOWN_1 X Dr Anek\IMG_6107.JPG,UNKNOWN 1,Dr Anek,,True
plant001,UNKNOWN_1 X Dr Anek,IMG_6108.JPG,UNKNOWN_1 X Dr Anek\IMG_6108.JPG,UNKNOWN 1,Dr Anek,,True
plant001,UNKNOWN_1 X Dr Anek,IMG_6109.JPG,UNKNOWN_1 X Dr Anek\IMG_6109.JPG,UNKNOWN 1,Dr Anek,,True
plant001,UNKNOWN_1 X Dr Anek,IMG_6110.JPG,UNKNOWN_1 X Dr Anek\IMG_6110.JPG,UNKNOWN 1,Dr Anek,,True
plant002,UNKNOWN_2,IMG_6153.JPG,UNKNOWN_2\IMG_6153.JPG,,,,False
plant002,UNKNOWN_2,IMG_6154.JPG,UNKNOWN_2\IMG_6154.JPG,,,,False
plant002,UNKNOWN_2,IMG_6155.JPG,UNKNOWN_2\IMG_6155.JPG,,,,False
plant002,UNKNOWN_2,IMG_6156.JPG,UNKNOWN_2\IMG_6156.JPG,,,,False
plant002,UNKNOWN_2,IMG_6157.JPG,UNKNOWN_2\IMG_6157.JPG,,,,False
plant002,UNKNOWN_2,IMG_6158.JPG,UNKNOWN_2\IMG_6158.JPG,,,,False
plant002,UNKNOWN_2,IMG_6159.JPG,UNKNOWN_2\IMG_6159.JPG,,,,False
plant002,UNKNOWN_2,IMG_6160.JPG,UNKNOWN_2\IMG_6160.JPG,,,,False
plant003,UNKNOWN_3,IMG_6153.JPG,UNKNOWN_3\IMG_6153.JPG,,,,False
plant003,UNKNOWN_3,IMG_6154.JPG,UNKNOWN_3\IMG_6154.JPG,,,,False
plant003,UNKNOWN_3,IMG_6155.JPG,UNKNOWN_3\IMG_6155.JPG,,,,False
plant003,UNKNOWN_3,IMG_6156.JPG,UNKNOWN_3\IMG_6156.JPG,,,,False
plant003,UNKNOWN_3,IMG_6157.JPG,UNKNOWN_3\IMG_6157.JPG,,,,False
plant003,UNKNOWN_3,IMG_6158.JPG,UNKNOWN_3\IMG_6158.JPG,,,,False
plant003,UNKNOWN_3,IMG_6159.JPG,UNKNOWN_3\IMG_6159.JPG,,,,False
plant003,UNKNOWN_3,IMG_6160.JPG,UNKNOWN_3\IMG_6160.JPG,,,,False
plant004,UNKNOWN_4,IMG_6161.JPG,UNKNOWN_4\IMG_6161.JPG,,,,False
plant004,UNKNOWN_4,IMG_6162.JPG,UNKNOWN_4\IMG_6162.JPG,,,,False
plant004,UNKNOWN_4,IMG_6163.JPG,UNKNOWN_4\IMG_6163.JPG,,,,False
plant004,UNKNOWN_4,IMG_6164.JPG,UNKNOWN_4\IMG_6164.JPG,,,,False
plant004,UNKNOWN_4,IMG_6165.JPG,UNKNOWN_4\IMG_6165.JPG,,,,False
plant004,UNKNOWN_4,IMG_6166.JPG,UNKNOWN_4\IMG_6166.JPG,,,,False
plant004,UNKNOWN_4,IMG_6167.JPG,UNKNOWN_4\IMG_6167.JPG,,,,False
plant004,UNKNOWN_4,IMG_6168.JPG,UNKNOWN_4\IMG_6168.JPG,,,,False
plant004,UNKNOWN_4,IMG_6169.JPG,UNKNOWN_4\IMG_6169.JPG,,,,False
plant004,UNKNOWN_4,IMG_6170.JPG,UNKNOWN_4\IMG_6170.JPG,,,,False
plant004,UNKNOWN_4,IMG_6171.JPG,UNKNOWN_4\IMG_6171.JPG,,,,False
plant004,UNKNOWN_4,IMG_6172.JPG,UNKNOWN_4\IMG_6172.JPG,,,,False
plant004,UNKNOWN_4,IMG_6173.JPG,UNKNOWN_4\IMG_6173.JPG,,,,False
plant005,UNKNOWN_5,IMG_6205.JPG,UNKNOWN_5\IMG_6205.JPG,,,,False
plant005,UNKNOWN_5,IMG_6206.JPG,UNKNOWN_5\IMG_6206.JPG,,,,False
