image_id,filename,class,split,plant_part,severity,affected_area_percent,notes
Black_LS_0001,Black_LS_0001.jpg,black_leaf_spot,train,leaf,mild,,
Black_LS_0002,Black_LS_0002.jpg,black_leaf_spot,validation,leaf,mild,,
Black_LS_0003,Black_LS_0003.jpg,black_leaf_spot,train,leaf,mild,,
Black_LS_0004,Black_LS_0004.jpg,black_leaf_spot,train,leaf,moderate,,
Black_LS_0005,Black_LS_0005.jpg,black_leaf_spot,train,leaf,moderate,,
Black_LS_0006,Black_LS_0006.jpg,black_leaf_spot,train,leaf,mild,,
Black_LS_0007,Black_LS_0007.jpg,black_leaf_spot,test,leaf,mild,,
Black_LS_0008,Black_LS_0008.jpg,black_leaf_spot,test,leaf,mild,,
Black_LS_0009,Black_LS_0009.jpg,black_leaf_spot,test,leaf,mild,,
Black_LS_0010,Black_LS_0010.jpg,black_leaf_spot,train,leaf,mild,,
Black_LS_0011,Black_LS_0011.jpg,black_leaf_spot,train,leaf,mild,,
Black_LS_0012,Black_LS_0012.jpg,black_leaf_spot,train,leaf,mild,,
Black_LS_0013,Black_LS_0013.jpg,black_leaf_spot,train,leaf,severe,,
Black_LS_0014,Black_LS_0014.jpg,black_leaf_spot,train,leaf,severe,,
Black_LS_0015,Black_LS_0015.jpg,black_leaf_spot,train,leaf,moderate,,
Black_LS_0016,Black_LS_0016.jpg,black_leaf_spot,train,leaf,mild,,
Black_LS_0017,Black_LS_0017.jpg,black_leaf_spot,train,leaf,mild,,
Black_LS_0018,Black_LS_0018.jpg,black_leaf_spot,train,leaf,mild,,
Black_LS_0019,Black_LS_0019.jpg,black_leaf_spot,train,leaf,severe,,
Black_LS_0020,Black_LS_0020.jpg,black_leaf_spot,validation,leaf,mild,,
Black_LS_0021,Black_LS_0021.jpg,black_leaf_spot,train,leaf,moderate,,
Black_LS_0022,Black_LS_0022.jpg,black_leaf_spot,train,leaf,moderate,,
Black_LS_0023,Black_LS_0023.jpg,black_leaf_spot,test,leaf,mild,,
Black_LS_0024,Black_LS_0024.jpg,black_leaf_spot,test,leaf,moderate,,
Black_LS_0025,Black_LS_0025.jpg,black_leaf_spot,train,leaf,moderate,,
Black_LS_0026,Black_LS_0026.jpg,black_leaf_spot,train,leaf,mild,,
Black_LS_0027,Black_LS_0027.jpg,black_leaf_spot,test,leaf,mild,,
Black_LS_0028,Black_LS_0028.jpg,black_leaf_spot,validation,leaf,moderate,,
Black_LS_0029,Black_LS_0029.jpg,black_leaf_spot,test,leaf,moderate,,
Black_LS_0030,Black_LS_0030.jpg,black_leaf_spot,train,leaf,moderate,,
Black_LS_0031,Black_LS_0031.jpg,black_leaf_spot,train,leaf,severe,,
Black_LS_0032,Black_LS_0032.jpg,black_leaf_spot,train,leaf,moderate,,
Black_LS_0033,Black_LS_0033.jpg,black_leaf_spot,train,leaf,mild,,
Black_LS_0034,Black_LS_0034.jpg,black_leaf_spot,train,leaf,moderate,,
Black_LS_0035,Black_LS_0035.jpg,black_leaf_spot,train,leaf,severe,,
Black_LS_0036,Black_LS_0036.jpg,black_leaf_spot,test,leaf,moderate,,
Black_LS_0037,Black_LS_0037.jpg,black_leaf_spot,train,leaf,moderate,,
Black_LS_0038,Black_LS_0038.jpg,black_leaf_spot,train,leaf,moderate,,
Black_LS_0039,Black_LS_0039.jpg,black_leaf_spot,train,leaf,severe,,
Black_LS_0040,Black_LS_0040.jpg,black_leaf_spot,train,leaf,severe,,
Black_LS_0041,Black_LS_0041.jpg,black_leaf_spot,validation,leaf,mild,,
Black_LS_0042,Black_LS_0042.jpg,black_leaf_spot,train,leaf,moderate,,
Black_LS_0043,Black_LS_0043.jpg,black_leaf_spot,train,leaf,severe,,
