# AUTO-PROPOSED flower labels for background-removed orchid images.
# These are proposals, not verified ground truth. Review the
# low-confidence rows before training on them.
image,source_dir,plant_fraction,flower_fraction,label,confidence,colour,n_blobs,note
V001.jpg,C:/Users/VICTUS/Pictures/orchid,0.2923,0.0,no_flower,1.0,,0,
V002.jpg,C:/Users/VICTUS/Pictures/orchid,0.272,0.0039,no_flower,0.803,,1,
V003.jpg,C:/Users/VICTUS/Pictures/orchid,0.4219,0.1717,flower,1.0,dark,1,
V004.jpg,C:/Users/VICTUS/Pictures/orchid,0.1922,0.0,no_flower,1.0,,0,
V005.jpg,C:/Users/VICTUS/Pictures/orchid,0.2626,0.3081,flower,1.0,violet,1,
V006.jpg,C:/Users/VICTUS/Pictures/orchid,0.3024,0.4172,flower,1.0,dark,1,
V007.jpg,C:/Users/VICTUS/Pictures/orchid,0.2069,0.0,no_flower,1.0,,0,
V008.jpg,C:/Users/VICTUS/Pictures/orchid,0.2716,0.0,no_flower,1.0,,0,
V009.jpg,C:/Users/VICTUS/Pictures/orchid,0.2727,0.0,no_flower,1.0,,0,
V010.jpg,C:/Users/VICTUS/Pictures/orchid,0.2019,0.2034,flower,1.0,violet,1,
V011.jpg,C:/Users/VICTUS/Pictures/orchid,0.0904,0.1655,flower,1.0,violet,1,
V012.jpg,C:/Users/VICTUS/Pictures/orchid,0.2083,0.0,no_flower,1.0,,0,
V013.jpg,C:/Users/VICTUS/Pictures/orchid,0.1225,0.1263,flower,1.0,orange,4,
V014.jpg,C:/Users/VICTUS/Pictures/orchid,0.1685,0.0,no_flower,1.0,,0,
V015.jpg,C:/Users/VICTUS/Pictures/orchid,0.2552,0.0853,flower,1.0,violet,5,
V016.jpg,C:/Users/VICTUS/Pictures/orchid,0.2724,0.0,no_flower,1.0,,0,
V017.jpg,C:/Users/VICTUS/Pictures/orchid,0.3629,0.2567,flower,1.0,yellow,1,
V018.jpg,C:/Users/VICTUS/Pictures/orchid,0.3065,0.0,no_flower,1.0,,0,
V019.jpg,C:/Users/VICTUS/Pictures/orchid,0.1468,0.0,no_flower,1.0,,0,
V020.jpg,C:/Users/VICTUS/Pictures/orchid,0.1919,0.4283,flower,1.0,magenta,3,
V021.jpg,C:/Users/VICTUS/Pictures/orchid,0.3169,0.0,no_flower,1.0,,0,
V022.jpg,C:/Users/VICTUS/Pictures/orchid,0.2014,0.1357,flower,1.0,orange,4,
V023.jpg,C:/Users/VICTUS/Pictures/orchid,0.3274,0.0,no_flower,1.0,,0,
V024.jpg,C:/Users/VICTUS/Pictures/orchid,0.2355,0.0,no_flower,1.0,,0,
V025.jpg,C:/Users/VICTUS/Pictures/orchid,0.2714,0.0,no_flower,1.0,,0,
V026.jpg,C:/Users/VICTUS/Pictures/orchid,0.2172,0.0,no_flower,1.0,,0,
V027.jpg,C:/Users/VICTUS/Pictures/orchid,0.1864,0.0,no_flower,1.0,,0,
V028.jpg,C:/Users/VICTUS/Pictures/orchid,0.2267,0.0,no_flower,1.0,,0,
V029.jpg,C:/Users/VICTUS/Pictures/orchid,0.2348,0.1645,flower,1.0,violet,1,
V030.jpg,C:/Users/VICTUS/Pictures/orchid,0.2048,0.0,no_flower,1.0,,0,
V031.jpg,C:/Users/VICTUS/Pictures/orchid,0.2658,0.0,no_flower,1.0,,0,
V032.jpg,C:/Users/VICTUS/Pictures/orchid,0.3243,0.0039,no_flower,0.805,,1,
V033.jpg,C:/Users/VICTUS/Pictures/orchid,0.2823,0.0,no_flower,1.0,,0,
V034.jpg,C:/Users/VICTUS/Pictures/orchid,0.1441,0.0,no_flower,1.0,,0,
V035.jpg,C:/Users/VICTUS/Pictures/orchid,0.2548,0.0,no_flower,1.0,,0,
V036.jpg,C:/Users/VICTUS/Pictures/orchid,0.2139,0.3787,flower,1.0,violet,1,
V037.jpg,C:/Users/VICTUS/Pictures/orchid,0.1987,0.0,no_flower,1.0,,0,
V038.jpg,C:/Users/VICTUS/Pictures/orchid,0.3791,0.2464,flower,1.0,violet,2,
V039.jpg,C:/Users/VICTUS/Pictures/orchid,0.2207,0.0,no_flower,1.0,,0,
V040.jpg,C:/Users/VICTUS/Pictures/orchid,0.24,0.0034,no_flower,0.83,,1,
V041.jpg,C:/Users/VICTUS/Pictures/orchid,0.3231,0.0,no_flower,1.0,,0,
V042.jpg,C:/Users/VICTUS/Pictures/orchid,0.2158,0.1306,flower,1.0,violet,1,
V043.jpg,C:/Users/VICTUS/Pictures/orchid,0.2554,0.0,no_flower,1.0,,0,
V044.jpg,C:/Users/VICTUS/Pictures/orchid,0.2685,0.0,no_flower,1.0,,0,
V045.jpg,C:/Users/VICTUS/Pictures/orchid,0.5444,0.0025,no_flower,0.875,,1,
V046.jpg,C:/Users/VICTUS/Pictures/orchid,0.3232,0.0039,no_flower,0.806,,1,
V047.jpg,C:/Users/VICTUS/Pictures/orchid,0.2623,0.0,no_flower,1.0,,0,
V048.jpg,C:/Users/VICTUS/Pictures/orchid,0.2858,0.0,no_flower,1.0,,0,
V049.jpg,C:/Users/VICTUS/Pictures/orchid,0.2914,0.0,no_flower,1.0,,0,
V050.jpg,C:/Users/VICTUS/Pictures/orchid,0.2806,0.0,no_flower,1.0,,0,
V051.jpg,C:/Users/VICTUS/Pictures/orchid,0.3941,0.2008,flower,1.0,dark,1,
V052.jpg,C:/Users/VICTUS/Pictures/orchid,0.1678,0.0,no_flower,1.0,,0,
V053.jpg,C:/Users/VICTUS/Pictures/orchid,0.3074,0.0,no_flower,1.0,,0,
V054.jpg,C:/Users/VICTUS/Pictures/orchid,0.1615,0.0,no_flower,1.0,,0,
V055.jpg,C:/Users/VICTUS/Pictures/orchid,0.1743,0.1121,flower,1.0,yellow,7,
V056.jpg,C:/Users/VICTUS/Pictures/orchid,0.2505,0.0,no_flower,1.0,,0,
V057.jpg,C:/Users/VICTUS/Pictures/orchid,0.374,0.2537,flower,1.0,violet,2,
V058.jpg,C:/Users/VICTUS/Pictures/orchid,0.281,0.0,no_flower,1.0,,0,
V059.jpg,C:/Users/VICTUS/Pictures/orchid,0.6373,0.0038,no_flower,0.811,,1,
V060.jpg,C:/Users/VICTUS/Pictures/orchid,0.2451,0.0,no_flower,1.0,,0,
V061.jpg,C:/Users/VICTUS/Pictures/orchid,0.263,0.0,no_flower,1.0,,0,
V062.jpg,C:/Users/VICTUS/Pictures/orchid,0.2541,0.0,no_flower,1.0,,0,
V063.jpg,C:/Users/VICTUS/Pictures/orchid,0.2725,0.0,no_flower,1.0,,0,
V064.jpg,C:/Users/VICTUS/Pictures/orchid,0.3039,0.0,no_flower,1.0,,0,
V065.jpg,C:/Users/VICTUS/Pictures/orchid,0.2338,0.0,no_flower,1.0,,0,
V066.jpg,C:/Users/VICTUS/Pictures/orchid,0.269,0.0,no_flower,1.0,,0,
V067.jpg,C:/Users/VICTUS/Pictures/orchid,0.2992,0.007,no_flower,0.651,,2,
V068.jpg,C:/Users/VICTUS/Pictures/orchid,0.2182,0.0,no_flower,1.0,,0,
V069.jpg,C:/Users/VICTUS/Pictures/orchid,0.2089,0.0,no_flower,1.0,,0,
V070.jpg,C:/Users/VICTUS/Pictures/orchid,0.1772,0.2942,flower,1.0,violet,1,
V071.jpg,C:/Users/VICTUS/Pictures/orchid,0.2021,0.0,no_flower,1.0,,0,
V072.jpg,C:/Users/VICTUS/Pictures/orchid,0.3499,0.0,no_flower,1.0,,0,
V073.jpg,C:/Users/VICTUS/Pictures/orchid,0.3898,0.1976,flower,1.0,dark,1,
V074.jpg,C:/Users/VICTUS/Pictures/orchid,0.3075,0.0071,no_flower,0.644,,1,
V075.jpg,C:/Users/VICTUS/Pictures/orchid,0.2541,0.0,no_flower,1.0,,0,
V076.jpg,C:/Users/VICTUS/Pictures/orchid,0.3529,0.3519,flower,1.0,red,1,
V077.jpg,C:/Users/VICTUS/Pictures/orchid,0.3197,0.2428,flower,1.0,dark,1,
V078.jpg,C:/Users/VICTUS/Pictures/orchid,0.1312,0.0,no_flower,1.0,,0,
V079.jpg,C:/Users/VICTUS/Pictures/orchid,0.426,0.2383,flower,1.0,violet,1,
V080.jpg,C:/Users/VICTUS/Pictures/orchid,0.4454,0.2189,flower,1.0,magenta,1,
V081.jpg,C:/Users/VICTUS/Pictures/orchid,0.1728,0.0904,flower,1.0,violet,2,
V082.jpg,C:/Users/VICTUS/Pictures/orchid,0.192,0.0,no_flower,1.0,,0,
V083.jpg,C:/Users/VICTUS/Pictures/orchid,0.1358,0.0,no_flower,1.0,,0,
V084.jpg,C:/Users/VICTUS/Pictures/orchid,0.3063,0.0,no_flower,1.0,,0,
V085.jpg,C:/Users/VICTUS/Pictures/orchid,0.284,0.0,no_flower,1.0,,0,
V086.jpg,C:/Users/VICTUS/Pictures/orchid,0.2981,0.0028,no_flower,0.859,,1,
V087.jpg,C:/Users/VICTUS/Pictures/orchid,0.1646,0.4426,flower,1.0,magenta,3,
V088.jpg,C:/Users/VICTUS/Pictures/orchid,0.2311,0.0,no_flower,1.0,,0,
V089.jpg,C:/Users/VICTUS/Pictures/orchid,0.3076,0.0,no_flower,1.0,,0,
